App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
[adult swim],FAMILY,3.6,21433,21M,"1,000,+",Free,0,Mature 17+,Entertainment,"May 29, 2018",3.0.1805181047,5.0 and up
[BN] Blitz,SPORTS,3.2,4,5.6M,100+,Free,0,Everyone,Sports,"May 17, 2018",4.6,4.3 and up
[EF]ShoutBox,COMMUNICATION,NaN,3,2.5M,100+,Free,0,Teen,Communication,"August 7, 2018",Build 54,4.0.3 and up
[root] Pry-Fi,TOOLS,3.9,6736,72k,"500,+",Free,0,Everyone,Tools,"February 2, 2014",1.2,4.2 and up
[ROOT] X Privacy Installer,TOOLS,4.2,12147,118k,"1,000,+",Free,0,Everyone,Tools,"January 25, 2015",1.18,4.0.3 and up
[Sub/EMUI] P Pro - EMUI 8.1/8.0/5.X Theme,PERSONALIZATION,4,13,19M,100+,Paid,$0.99,Everyone,Personalization,"July 20, 2018",H7SubTV0.1_TV0.4,7.0 and up
[Substratum] K-Manager for K-Klock,PERSONALIZATION,4.5,14,11M,"1,+",Free,0,Everyone,Personalization,"July 31, 2018",31,7.0 and up
[Substratum] M5 Theme,PERSONALIZATION,4.4,16,6.7M,"5,000+",Free,0,Everyone,Personalization,"March 10, 2018",1.3.4,7.0 and up
[substratum] Vacuum: P,PERSONALIZATION,4.4,230,11M,"1,+",Paid,$1.49,Everyone,Personalization,"July 20, 2018",4.4,NaN
[verify-U] VideoIdent,COMMUNICATION,2.9,83,13M,"10,000+",Free,0,Everyone,Communication,"April 26, 2018",2.4.0,5.0 and up
+Download 4 Instagram Twitter,SOCIAL,4.5,40467,22M,"1,000,+",Free,0,Everyone,Social,"August 2, 2018",5.03,4.1 and up